"Story","Title","Result","Date","Stability","Duration (s)"
"Dummy rest APICURD test","1. Verify if total records are 24","ERROR","2022-06-21T22:12:29.346+01:00[Europe/London]","0.0","0.85"
"Dummy rest APICURD test","2. Verify if 24th Data id is 24","ERROR","2022-06-21T22:12:30.199+01:00[Europe/London]","0.0","0.99"
"Dummy rest APICURD test","3. Verify if 9th employee name is Colleen Hurst","ERROR","2022-06-21T22:12:31.184+01:00[Europe/London]","0.0","1.03"
"Dummy rest APICURD test","4. Verify if message is Successfully! All records has been fetched","ERROR","2022-06-21T22:12:32.218+01:00[Europe/London]","0.0","0.95"
"Dummy rest APICURD test","5. Verify if status is success","ERROR","2022-06-21T22:12:33.164+01:00[Europe/London]","0.0","1.0"
"Dummy rest APICURD test","6. Verify 4th id salary is 433060","ERROR","2022-06-21T22:12:34.169+01:00[Europe/London]","0.0","0.86"
